1	2.726315789	1.09007	[2, 2, 4, 3, 2, 3, 2, 2, 4, 3, 3, 2, 4, 3, 3, 2, 2, 3, 3, 3, 2, 4, 2, 3, 2, 2, 2, 3, 4, 2, 2, 2, 3, 3, 4, 3, 4, 4, 2, -4, 3, 4, 2, 2, 3, 3, 3, 4, 2, 3, 2, 2, 2, 2, 3, 3, 4, 3, 3, 3, 2, 2, 1, 3, 1, 3, 2, 3, 4, 2, 2, 3, 3, 4, 2, 2, 1, 2, 4, 4, 3, 3, 4, 2, 4, 3, 4, 3, 4, 4, 3, 4, 3, 4, 1]
2	2.262626263	0.98047	[3, 3, 3, 3, 2, 1, 2, 1, 2, 2, 2, 3, 1, 2, 4, 3, 1, 2, 3, 2, 3, 1, 2, 1, 1, 2, 2, 3, 2, 3, 4, 2, 3, 1, 2, 2, 1, 3, 3, 3, 2, 2, 1, 3, -1, 3, 1, 2, 3, 3, 3, 2, 2, 2, 3, 4, 2, 1, 3, 2, 0, 1, 1, 2, 3, 2, 2, 1, 1, 3, 2, 3, 2, 1, 4, 2, 2, 3, 3, 2, 3, 3, 2, 1, 2, 1, 3, 4, 3, 4, 4, 2, 4, 2, 2, 2, 4, 4, 2]
3	2.873684211	0.77108	[3, 2, 4, 3, 2, 3, 3, 2, 3, 3, 3, 1, 4, 3, 3, 2, 3, 2, 3, 4, 3, 3, 2, 2, 2, 3, 3, 3, 3, 2, 2, 4, 3, 4, 3, 3, 3, 4, 3, 4, 4, 3, 3, 2, 3, 2, 3, 3, 2, 3, 1, 3, 1, 2, 3, 2, 4, 3, 4, 3, 2, 2, 2, 3, 2, 3, 3, 3, 3, 2, 1, 4, 3, 4, 3, 3, 4, 2, 4, 4, 3, 3, 3, 3, 3, 4, 4, 2, 2, 4, 4, 3, 3, 3, 3]
4	2.857142857	0.90351	[3, 4, 4, 3, 3, 3, 3, 3, 3, 4, 2, 4, 3, 3, 3, 2, 4, 3, 3, 2, 4, 3, 4, 3, 3, 3, 2, 3, 3, 3, 4, 3, 2, 3, 2, 3, 3, 3, 3, 1, 3, 4, 2, 3, 3, 4, 3, 3, 2, 2, 3, 4, 4, 4, 1, 1, 3, 2, 4, 2, 3, 1, 1, 1, 4, 3, 3, 4, 1, 3, 3, 4, 2, 4, 3, 2, 4, 4, 1, 2, 4, 3, 1, 3, 3, 2, 3, 3, 3, 3, 4, 3, 3, 1, 3, 1, 3, 4]
5	-2.154639175	1.0585	[-3, -4, -3, -3, -2, -1, -2, -2, -3, 2, -3, -2, -1, -2, -2, -3, -2, -3, -3, -1, -1, -1, -1, -2, -3, -3, -2, -3, -1, -2, -2, -2, -2, -1, -2, -4, -1, -3, -2, -2, -3, -3, -2, -2, -3, -3, -3, -1, -1, -3, -2, -1, -2, -1, -4, 1, -3, -3, -3, -1, -3, -3, -3, -1, -3, -1, 0, -1, -1, -2, -2, -3, -3, -1, -3, -2, -4, -2, -4, -2, -2, -2, -3, -1, -3, -2, -2, -2, -4, -1, -3, -2, -3, -2, -1, -4, -2]
6	2.510869565	0.78705	[2, 2, 2, 4, 3, 3, 3, 3, 2, 2, 2, 3, 2, 2, 3, 4, 2, 2, 3, 1, 3, 2, 3, 2, 2, 3, 2, 3, 4, 2, 4, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 3, 1, 3, 1, 3, 2, 2, 2, 3, 4, 3, 2, 3, 1, 4, 3, 3, 2, 3, 2, 3, 3, 2, 1, 2, 3, 2, 2, 3, 3, 3, 3, 1, 3, 2, 2, 2, 1, 3, 1, 3, 3, 2, 2, 4, 3, 3, 1, 3, 3, 2]
7	-2.021276596	0.75764	[-1, -1, -2, -2, -4, -2, -3, -2, -2, -2, -2, -3, -2, -2, -1, -2, -3, -3, -2, -3, -2, -1, -1, -2, -3, -1, -2, -2, -1, -3, -2, -2, -4, -2, -2, -2, -1, -1, -1, -3, -2, -1, -2, -2, -2, -2, -3, -2, -3, -2, -3, -2, -2, -2, -1, -2, -3, -2, -3, -2, -3, -1, -1, -2, -3, -3, -2, -1, -1, -2, -2, -2, -1, -1, -1, -1, -3, -2, -2, -1, -2, -3, -1, -1, -2, -3, -2, -1, -3, -2, -2, -3, -2, -3]
8	0.131313131	0.46377	[0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, -2, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
9	-2.505263158	0.77966	[-3, -2, -3, -2, -2, -2, -2, -2, -3, -2, -2, -1, -2, -3, -2, -2, -3, -4, -3, -4, -2, -1, -2, -2, -3, -3, -4, -3, -2, -2, -2, -3, -2, -3, -3, -3, -2, -3, -3, -4, -4, -3, -2, -1, -2, -3, -3, -3, -2, -3, -3, -1, -3, -3, -2, -1, -3, -3, -3, -3, -2, -2, -2, -2, -2, -2, -2, -3, -2, -2, -2, -2, -3, -3, -3, -2, -1, -1, -4, -3, -2, -3, -1, -2, -2, -4, -3, -2, -4, -3, -3, -3, -3, -2, -4]
10	2.724489796	1.15865	[2, 2, 4, 4, 3, 4, 3, 3, 3, 3, 4, 3, 4, 2, 3, 4, 3, 3, 4, 3, 3, 3, 3, 0, 3, 4, 3, 4, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 1, 3, 2, 4, 1, 3, 4, 2, 3, 3, 4, 2, 2, 3, 3, 3, 3, 4, 4, -2, 0, 3, 2, 3, 3, 1, 3, 3, 4, 4, 2, 2, 1, 3, 3, 2, 4, 2, 2, 3, 4, 2, 1, 3, 2, 2, -2, 4, 4, 1, 4, 2, 2, 2, 3, 4, 4]
